wordle_dict,V1,V2,V3,V4,V5,p 7,s 7,p 8,s 8,p 9,s 9,p 10,s 10,p 11,s 11,sumf,sum_uniqs,unique,score,rank,UxSUxSF,rank2
jinne,j,i,n,n,e,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,7.431390687634906,4.551341350601295,6.074622263336417,4.551341350601295,11.732963305581253,10.271353684859697,37.45760098674067,21.06691335183472,4,149.8304039469627,9297,3156.464137421058,10237
jinni,j,i,n,n,i,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,7.431390687634906,4.551341350601295,6.074622263336417,4.551341350601295,2.158495220474869,5.795559666975024,27.88313290163429,10.795559666975024,3,83.64939870490286,12686,903.0420748253622,12929
jinns,j,i,n,n,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,7.431390687634906,4.551341350601295,6.074622263336417,4.551341350601295,30.511871723712613,10.275979031760716,56.23650940487204,21.07153869873574,4,224.94603761948815,4246,4739.95913682631,7069
jirds,j,i,r,d,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,9.23527597903176,6.410730804810361,3.630897317298797,3.781991982732038,30.511871723712613,10.275979031760716,55.59666975023127,26.712920135676843,5,277.98334875115637,2035.5,7425.746994237643,2970
jirga,j,i,r,g,a,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,9.23527597903176,6.410730804810361,3.260869565217391,2.534690101757632,5.242059821153253,9.23527597903176,29.956830095590504,24.42491520197348,5,149.78415047795252,9299.5,3658.465174023626,9218
jirre,j,i,r,r,e,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,9.23527597903176,6.410730804810361,5.542707369719396,6.410730804810361,11.732963305581253,10.271353684859697,38.729571384520504,22.926302806043786,4,154.91828553808202,8867,3551.7035244392223,9424
jisms,j,i,s,m,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,4.108849830403947,10.275979031760716,3.0989824236817762,3.046561825470244,30.511871723712613,10.275979031760716,49.938328707986436,19.566759173604687,4,199.75331483194574,5508,3908.5250054459198,8658
jived,j,i,v,e,d,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,1.8501387604070305,1.0699969164353993,17.9386370644465,10.271353684859697,6.344434165895775,3.781991982732038,38.351834720937404,21.367560900400864,5,191.75917360468702,5994.5,4097.425820208692,8271
jiver,j,i,v,e,r,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,1.8501387604070305,1.0699969164353993,17.9386370644465,10.271353684859697,5.188097440641382,6.410730804810361,37.19549799568301,23.996299722479186,5,185.97748997841506,6354,4462.771591156417,7589
jives,j,i,v,e,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,1.8501387604070305,1.0699969164353993,17.9386370644465,10.271353684859697,30.511871723712613,10.275979031760716,62.519272278754244,27.861547949429543,5,312.5963613937712,951.5,8709.418511789763,1821
jivey,j,i,v,e,y,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,1.8501387604070305,1.0699969164353993,17.9386370644465,10.271353684859697,10.029293863706444,3.1976564909034844,42.03669441874807,20.78322540857231,5,210.18347209374036,4973,4368.2904776805735,7763
jnana,j,n,a,n,a,1.557200123342584,0.4486586493987049,2.6595744680851063,4.551341350601295,9.528214616096207,9.23527597903176,6.074622263336417,4.551341350601295,5.242059821153253,9.23527597903176,25.061671292013568,14.23527597903176,3,75.1850138760407,12828,1070.2794220127716,12885
jobed,j,o,b,e,d,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,2.582485353068147,2.5084798026518653,17.9386370644465,10.271353684859697,6.344434165895775,3.781991982732038,44.58063521430773,23.85291396854764,5,222.90317607153867,4343,5316.890282150439,5968
jobes,j,o,b,e,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,2.582485353068147,2.5084798026518653,17.9386370644465,10.271353684859697,30.511871723712613,10.275979031760716,68.74807277212457,30.346901017576318,5,343.7403638606229,326.5,10431.45479782399,832
jocko,j,o,c,k,o,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,3.0218933086648163,3.1267345050878816,3.8775824853530683,2.320382362010484,2.998766574159729,6.842429848905334,27.61332099907493,12.738205365402404,4,110.45328399629972,11861,1406.9766148279805,12746
jocks,j,o,c,k,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,3.0218933086648163,3.1267345050878816,3.8775824853530683,2.320382362010484,30.511871723712613,10.275979031760716,55.126426148627814,23.01418439716312,5,275.6321307431391,2134.5,6343.448682705576,4307
jocky,j,o,c,k,y,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,3.0218933086648163,3.1267345050878816,3.8775824853530683,2.320382362010484,10.029293863706444,3.1976564909034844,34.64384828862164,15.93586185630589,5,173.21924144310822,7276,2760.3979024914684,10988
jocos,j,o,c,o,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,3.0218933086648163,3.1267345050878816,5.38082022818378,6.842429848905334,30.511871723712613,10.275979031760716,56.62966389145853,20.693802035152636,4,226.5186555658341,4165,4687.532215548297,7160
jodel,j,o,d,e,l,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,3.006475485661425,3.781991982732038,17.9386370644465,10.271353684859697,3.669441874807277,5.197348134443416,42.329633055812515,26.54178230033919,5,211.64816527906257,4897,5617.519527103086,5437
joeys,j,o,e,y,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,6.799259944495837,10.271353684859697,0.8325624421831638,3.1976564909034844,30.511871723712613,10.275979031760716,55.85877274128893,31.036077705827935,5,279.29386370644465,1985,8668.186056754133,1845
johns,j,o,h,n,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,0.9250693802035153,2.713536848596978,6.074622263336417,4.551341350601295,30.511871723712613,10.275979031760716,55.22664199814986,24.83194572926303,5,276.13320999074926,2119,6856.924884537478,3582
joins,j,o,i,n,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,8.102065988282455,5.795559666975024,6.074622263336417,4.551341350601295,30.511871723712613,10.275979031760716,62.403638606228796,27.913968547641073,5,312.018193031144,967.5,8709.666026563153,1819
joked,j,o,k,e,d,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,2.0968239284613013,2.320382362010484,17.9386370644465,10.271353684859697,6.344434165895775,3.781991982732038,44.09497378970089,23.664816527906257,5,220.47486894850442,4467,5217.497322680534,6162
jokes,j,o,k,e,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,2.0968239284613013,2.320382362010484,17.9386370644465,10.271353684859697,30.511871723712613,10.275979031760716,68.26241134751773,30.158803576934936,5,341.31205673758865,351,10293.563277588608,896
jokey,j,o,k,e,y,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,2.0968239284613013,2.320382362010484,17.9386370644465,10.271353684859697,10.029293863706444,3.1976564909034844,47.77983348751156,23.080481036077703,5,238.8991674375578,3558,5513.907703577304,5614
jokol,j,o,k,o,l,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,2.0968239284613013,2.320382362010484,5.38082022818378,6.842429848905334,3.669441874807277,5.197348134443416,28.862164662349674,14.808818994757939,4,115.4486586493987,11619,1709.6582891265407,12506
joled,j,o,l,e,d,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,6.537156953438175,5.197348134443416,17.9386370644465,10.271353684859697,6.344434165895775,3.781991982732038,48.53530681467777,26.54178230033919,5,242.67653407338884,3381.5,6441.067736776732,4159
joles,j,o,l,e,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,6.537156953438175,5.197348134443416,17.9386370644465,10.271353684859697,30.511871723712613,10.275979031760716,72.7027443724946,33.03576934936787,5,363.51372186247306,159,12008.955470778921,321
jolls,j,o,l,l,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,6.537156953438175,5.197348134443416,5.943570767807586,5.197348134443416,30.511871723712613,10.275979031760716,60.70767807585569,22.76441566450817,4,242.83071230342276,3372.5,5527.899270983714,5593
jolts,j,o,l,t,s,1.557200123342584,0.4486586493987049,16.15787850755473,6.842429848905334,6.537156953438175,5.197348134443416,6.922602528522972,5.080172679617638,30.511871723712613,10.275979031760716,61.686709836571076,27.84458834412581,5,308.43354918285536,1068.5,8588.20520851429,1906
